,Customer_Branch,Principal_amt,Paid_principal,Paid_Interest,Paid_Penalty,Total_Remaining_prinipal,Remaining_principal,Amount_due,Due_Principal,Due_interest,Due_pen_interest,Due_Fee,Paid_Fee,Due_TAX,Paid_Tax,Previous_Days,Overdue_Days,CreditScoreGroup,PaymentStatus,Duration,ReturningCustomer
0,40,1000,1000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,40,1000,1000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2,40,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3,40,1000,1000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,46,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,40,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0
6,40,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0
7,40,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,1
8,59,500000,500000,24426,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0
9,44,120000,120000,930,56,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
10,40,1000000,1000000,10717,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
11,40,1000000,1000000,49906,29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0
12,40,190000,190000,2363,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
13,40,469000,469000,7053,556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
14,40,230000,230000,1783,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0
15,40,40000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
16,40,300000,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17,40,500000,500000,20021,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0
18,40,1000000,1000000,7575,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0
19,40,1000000,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0
20,40,350000,350000,13026,93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0
21,58,350000,350000,4968,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0
22,40,370000,370000,2868,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0
23,40,600000,600000,15807,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0
